,Heart and pink flower stitched with gold,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,"Dark plum colored heart, pink stitching",Horizontal ,Pink bird singing Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Goldfinch singing stitched heart,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Bronze/orange bird with stitching ,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Autumn leaves,Horizontal ,on gold dotted background ,FALSE,FALSE,Blank Art Cards,
,Honey colored bird,Horizontal ,Stitching on dark plum heart,FALSE,FALSE,Blank Art Cards,
,Cardinal singing on lilac heart,Horizontal ,Sage stitches,FALSE,FALSE,Blank Art Cards,
,Stitched white heart with white rose,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Golden ginkgo leaf,Horizontal ,On white heart with stitching,FALSE,FALSE,Blank Art Cards,
,Wood thrush singing,Horizontal ,Gold stitches on white heart,FALSE,FALSE,Blank Art Cards,
,Happy Birthday /strawberry pie ,Vertical ,Fresh!,FALSE ,TRUE,Birthday,
,"Happy Birthday: strawberry pie gluten free, fat free, sugar free paper",Vertical,With Tea!,FALSE,FALSE,Birthday,
,Happy Birthday lemon meringue,Horizontal ,"Gluten free, fat free, vegan sugar free paper",FALSE,FALSE,Birthday,
,Strawberry Pie ,Horizontal ,With coffee or tea.,FALSE,FALSE,Blank Art Cards,Birthday
,Happy Birthday:pecan pie,Horizontal ,,FALSE,FALSE,Birthday,
,Happy Birthday:bon bons,Horizontal ,Made them myself,FALSE,FALSE,Birthday,
,Birthday Raspberry Tart,Vertical ,with peacock decor,FALSE,FALSE,Birthday,
,Birthday pumpkin pie table,Horizontal ,Yellow flower,FALSE,FALSE,Birthday,
,Dancing to music birthday cake,Vertical ,"Gluten free, fat free, sugar free, vegan",FALSE,FALSE,Birthday,
,Cake dancing with forks.,Vertical,Chocolate glaze.,FALSE,FALSE,Birthday,Blank Art Cards
,3 Layer happy birthday cake,Vertical ,Sunny candle on top,FALSE,FALSE,Birthday,
,2 layer happy birthday cake,Vertical ,Blue sparkles,FALSE,FALSE,Birthday,
,3 Layer happy birthday cake,Vertical,Dancing cake,FALSE,FALSE,Birthday,
,Pink cloud cake,Vertical,My grandmother's egg white icing,FALSE,FALSE,Blank Art Cards,Birthday
,Happy Birthday cupcake with cherry,Vertical,Chocolate ,FALSE,FALSE,Birthday,
,Happy Birthday marquee,Vertical ,Day and night in the city,FALSE, FALSE,Birthday,
,Happy Birthday gold bird,Vertical ,And blue birdhouse ,FALSE,FALSE,Birthday,
,Exotic happy birthday plans,Horizontal ,With good friends ,FALSE,FALSE,Birthday,
,Pink Welcome Baby bib,Horizontal ,,FALSE,FALSE,Baby,
,Green bib with yellow dots ,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Blue sail boat bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Multi color plaid baby bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Multi color plaid baby bib with ties,Horizontal ,Welcome Baby,FALSE ,TRUE,Baby,
,Cartoon cat bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Coffee cat bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Orange cat bib,Horizontal ,Welcome baby,FALSE,FALSE,Baby,
,Little fish bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Big fish bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Smiling monkey bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Chihuahua bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,White dog bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Orange dinosaur bib,Horizontal ,Welcome Baby,FALSE,TRUE,Baby,
,Orange Dino/light blue bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Green/multi string bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Red Crescent,Horizontal ,Total Solar Eclipse 8/21/2017,FALSE,TRUE,Blank Art Cards,
,Double Yellow Crescent,Horizontal ,Total Solar Eclipse 8/21/2017,FALSE,FALSE,Blank Art Cards,
,Red Shadow,Horizontal ,Total Solar Eclipse 8/21/2017,FALSE,FALSE,Blank Art Cards,
,Red/Yellow Crescents,Horizontal ,Total Solar Eclipse 8/21/2017,FALSE,FALSE,Blank Art Cards,
,Green Oak Leaf,Horizontal ,Peace,FALSE,FALSE,Holiday,
,Red butterfly bib,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Orange Crescent,Horizontal ,Total Solar Eclipse 8/21/2017,FALSE,FALSE,Blank Art Cards,
,12 Animals,Horizontal ,Happy Birthday ,FALSE,FALSE,Birthday,Baby
,Lettuce in a pot,Vertical ,Fresh Salad,FALSE,FALSE,Blank Art Cards,
,Window box,Vertical ,And lace curtain,FALSE,FALSE,Blank Art Cards,
,Silver/pink spark design,Horizontal ,Reminiscent of snowflakes,FALSE,FALSE,Blank Art Cards,Winter Holiday
,Green/fuchsia spark design,Horizontal ,Happy and alive,FALSE,FALSE,Blank Art Cards,
,Orange/purple spark design,Horizontal ,Variation on a theme,FALSE,FALSE,Blank Art Cards,
,Green/red spark design ,Horizontal ,Variation on a theme,FALSE,FALSE,Blank Art Cards,Holiday
,Grey on cream spark design,Horizontal ,Variation on a theme,FALSE, FALSE,Blank Art Cards,
,Bib with stars and ties,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Red bib/3 indigo birds,Horizontal ,Welcome Baby,FALSE,FALSE,Baby,
,Red bib/stars,Horizontal ,Welcome Baby,FALSE,FALSE,Blank Art Cards,
,Singing red bird in the trees,Horizontal ,With hand stitching,FALSE,FALSE,Blank Art Cards,
,Bronze bird singing a love tune,Horizontal ,With hand stitching,FALSE,FALSE,Blank Art Cards,
,In the park by the columns,Horizontal ,Papers and net collage ,FALSE,FALSE,Blank Art Cards,
,At the gate,Horizontal ,Dusty red butterfly ,FALSE,FALSE,Blank Art Cards,
,Statue in the park,Horizontal ,A prayer. A song.,FALSE,FALSE,Blank Art Cards,Sympathy 
,Child statue collage,Horizontal ,With red butterfly ,FALSE,FALSE,Blank Art Cards,
,Magic carpet,Horizontal ,An Arabian night,FALSE,FALSE,Blank Art Cards,
,Sonata with white pitchers,Vertical ,Vintage still life collage ,FALSE,FALSE,Blank Art Cards,
,Vintage camera,Vertical ,On the buffet ,FALSE,FALSE,Blank Art Cards,
,Bat in the sky,Horizontal ,Night colors,FALSE,FALSE,Blank Art Cards,
,Ginkgo leaves,Horizontal ,On purple,FALSE,FALSE,Blank Art Cards,
,Green-headed coneflower,Vertical ,And praying Mantis,FALSE,FALSE,Blank Art Cards,
,Milkweed-Asclepias Incarnata ,Horizontal,Native Pa Plant,FALSE,FALSE,Blank Art Cards,
,Milkweed-Asclepias Incarnata ,Horizontal ,With Sympathy ,FALSE,FALSE,Sympathy,
,Coneflowers with sympathy ,Vertical ,Native Pa Plant,FALSE,FALSE,Sympathy,
,Pink milkweed on turquoise ,Horizontal ,Asclepias incarnata ,FALSE,FALSE,Blank Art Cards,
,Great blue lobelia,Vertical ,Native Pa. Plant,FALSE,FALSE,Blank Art Cards,
,Purple Coneflower ,Vertical ,Happy Anniversary ,FALSE,FALSE,Blank Art Cards,
,Bee Balm/monarda,Vertical ,Native Pa. Flower,FALSE,FALSE,Blank Art Cards,
,Culver's Root/Veronicastrum,Vertical ,Native Pa. Flower,FALSE,FALSE,Blank Art Cards,
,Bee on Culver's Root,Vertical ,Native Pa. Plant,FALSE,FALSE,Blank Art Cards,
,Trust in the Lord...,Vertical ,Night sky colors,FALSE,FALSE,Sympathy,Encouragement 
,Stars of Promice,Horizontal ,Night sky colors,FALSE,TRUE,Sympathy,Encouragement 
,Night sky bird scene,Vertical ,Colors in the night,FALSE,FALSE,Sympathy,Blank Art Card
,Graduation Cap /Pink dot background,Horizontal ,Congratulations Graduate,FALSE,FALSE,Holiday,Graduation 
,Graduation Cap with celebration decoration ,Horizontal ,Congratulations Graduate,FALSE,FALSE,Holiday,Graduation 
,Hill Mynah bird collage,Horizontal ,Bird of tropics,FALSE,FALSE,Blank Art Cards,
,Northern Mockingbird collage,Horizontal ,Sings many tunes in city and country,FALSE,FALSE,Blank Art Cards,
,White dove heart on gray/hand stitching ,Horizontal ,Congratulations ,FALSE,TRUE,Wedding/Anniversary,
,White dove heart on blue vines/hand stitching ,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Gold stitches/red heart,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Green/floral heart with hand stitching ,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Bird heart with gold stitching,Horizontal ,Congratulations on your marriage ,FALSE,FALSE,Wedding/Anniversary,
,"White pink bird heart,",Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Red pink singing bird with hand stitching ,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,Yellow red and Purple Heart with music,Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,Graduation 
,Pink bird/white wing on white heart,Horizontal ,Sparkly green stitches,FALSE,FALSE,Blank Art Cards,
,"Pink bird on white heart,stitched",Horizontal ,On green Asian field,FALSE,FALSE,Blank Art Cards,
,Robin-like bird singing ,Horizontal ,On pale blue heart with stitching ,FALSE,FALSE,Blank Art Cards,
,"White dove on ivory textured heart, stitched",Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,"White dove/natural textured heart, stitched ",Horizontal ,Congratulations ,FALSE,FALSE,Wedding/Anniversary,
,White dove heart stitched on black with white dots ,Horizontal,Congratulations ,FALSE,FALSE,Wedding/Anniversary,